,SA,Saudia_Arabia,singapore,Spain,srilanka,sweden,switzerland,taiwan,tanzania,thailand,Togo,Turkey,UAE,uganda,ukraine,uruguay,US,uzbekistan,Venezuela,Vietnam,Yemen,zambia,zimbabwe
865,,,,,,,,,,,,,,,,,,,,,,Chinan Clinic,
866,,,,,,,,,,,,,,,,,,,,,,Lusaka Trust Hospital,
867,,,,,,,,,,,,,,,,,,,,,,Telnor Medical Clinic,
868,,,,,,,,,,,,,,,,,,,,,,Lusaka Adventist Clinic,
869,,,,,,,,,,,,,,,,,,,,,,Arthur Davison Children?s Hospital,
870,,,,,,,,,,,,,,,,,,,,,,Lilayi Family Clinic,
871,,,,,,,,,,,,,,,,,,,,,,Ndola Central Hospital,
872,,,,,,,,,,,,,,,,,,,,,,Lancet Nkanza Laboratories,
873,,,,,,,,,,,,,,,,,,,,,,Rd. Bhatts Med & DENTAL Services,
874,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
875,,,,,,,,,,,,,,,,,,,,,,Chemopharm,
876,,,,,,,,,,,,,,,,,,,,,,Family Trust Medical Centre,
877,,,,,,,,,,,,,,,,,,,,,,Beverly Eye Clinic,
878,,,,,,,,,,,,,,,,,,,,,,Kabelenga Family Hospital,
879,,,,,,,,,,,,,,,,,,,,,,Kopa Specialist Clinic,
880,,,,,,,,,,,,,,,,,,,,,,Good Esthetics,
881,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
882,,,,,,,,,,,,,,,,,,,,,,Link Pharmacy,
883,,,,,,,,,,,,,,,,,,,,,,Dr Dilobar?s Clinic,
884,,,,,,,,,,,,,,,,,,,,,,Eyemax Opticians,
885,,,,,,,,,,,,,,,,,,,,,,Company Clinic,
886,,,,,,,,,,,,,,,,,,,,,,Vikay Pharmacy,
887,,,,,,,,,,,,,,,,,,,,,,Wusakile General Health Care,
888,,,,,,,,,,,,,,,,,,,,,,Kayiwale Medical Centre,
889,,,,,,,,,,,,,,,,,,,,,,Morningrise Surgery,
890,,,,,,,,,,,,,,,,,,,,,,Healing Touch Clinic,
891,,,,,,,,,,,,,,,,,,,,,,Kitwe Polyclinic,
892,,,,,,,,,,,,,,,,,,,,,,Lusaka Chemist,
893,,,,,,,,,,,,,,,,,,,,,,Progress Medical,
894,,,,,,,,,,,,,,,,,,,,,,Forest Park Specialized Hospital,
895,,,,,,,,,,,,,,,,,,,,,,Kitwe Central Hospital (PAMSCO),
896,,,,,,,,,,,,,,,,,,,,,,Family Care Dental Surgery,
897,,,,,,,,,,,,,,,,,,,,,,Kano DENTAL,
898,,,,,,,,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
899,,,,,,,,,,,,,,,,,,,,,,Indafro Limited,
900,,,,,,,,,,,,,,,,,,,,,,Hillview Medical Centre,
901,,,,,,,,,,,,,,,,,,,,,,Emergency Response Zambia,
902,,,,,,,,,,,,,,,,,,,,,,Carewell Oasis Medical,
903,,,,,,,,,,,,,,,,,,,,,,Eye- Co OPTICIANS,
904,,,,,,,,,,,,,,,,,,,,,,Zubeda Clinic,
905,,,,,,,,,,,,,,,,,,,,,,Dr Agarwal?s Eye Hospital,
906,,,,,,,,,,,,,,,,,,,,,,Kafue District Hospital,
907,,,,,,,,,,,,,,,,,,,,,,Double Six OPTICIANS,
908,,,,,,,,,,,,,,,,,,,,,,Zambia Radiological & Imaging Co,
909,,,,,,,,,,,,,,,,,,,,,,Dentalllive Clinic,
910,,,,,,,,,,,,,,,,,,,,,,Vision Care Centre,
911,,,,,,,,,,,,,,,,,,,,,,DENTAL Training School,
912,,,,,,,,,,,,,,,,,,,,,,Viva Med Hospital,
913,,,,,,,,,,,,,,,,,,,,,,Dazzling DENTAL Clinic,
914,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
915,,,,,,,,,,,,,,,,,,,,,,CorpMed Medical Centre,
916,,,,,,,,,,,,,,,,,,,,,,University Teaching Hospital,
917,,,,,,,,,,,,,,,,,,,,,,Coptic Hospital,
918,,,,,,,,,,,,,,,,,,,,,,U Z Dental Clinic,
919,,,,,,,,,,,,,,,,,,,,,,Clear Vision Centre,
920,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
921,,,,,,,,,,,,,,,,,,,,,,City DENTAL,
922,,,,,,,,,,,,,,,,,,,,,,Teba Hospital,
923,,,,,,,,,,,,,,,,,,,,,,Sun Bird Eye Clinic,
924,,,,,,,,,,,,,,,,,,,,,,Chisomo Hospital,
925,,,,,,,,,,,,,,,,,,,,,,St. John Paul II,
926,,,,,,,,,,,,,,,,,,,,,,Care for Business,
927,,,,,,,,,,,,,,,,,,,,,,ST John?s Hospital,
928,,,,,,,,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
929,,,,,,,,,,,,,,,,,,,,,,St George?s Clinic,
930,,,,,,,,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
931,,,,,,,,,,,,,,,,,,,,,,Smile Medical & DENTAL Clinic,
932,,,,,,,,,,,,,,,,,,,,,,Beit Cure International,
933,,,,,,,,,,,,,,,,,,,,,,Revive Zambia,
934,,,,,,,,,,,,,,,,,,,,,,Baba Medical Centre,
935,,,,,,,,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
936,,,,,,,,,,,,,,,,,,,,,,ALWIMA Medical Centre,
937,,,,,,,,,,,,,,,,,,,,,,Reliance Dental Services,
938,,,,,,,,,,,,,,,,,,,,,,Phil OPTICIANS,
939,,,,,,,,,,,,,,,,,,,,,,PROVIDER NAME,
940,,,,,,,,,,,,,,,,,,,,,,PHI Family Clinic,
941,,,,,,,,,,,,,,,,,,,,,,Premium Medical Services,
942,,,,,,,,,,,,,,,,,,,,,,Pendleton Family Practice Ltd,
943,,,,,,,,,,,,,,,,,,,,,,Pearl of Health Hospital and Clinic,
944,,,,,,,,,,,,,,,,,,,,,,Optimal Medical Centre,
945,,,,,,,,,,,,,,,,,,,,,,Mutti Medical Centre,
946,,,,,,,,,,,,,,,,,,,,,,Mum?s Care Clinics,
947,,,,,,,,,,,,,,,,,,,,,,MKP TMS Hospital,
948,,,,,,,,,,,,,,,,,,,,,,Metropolis Healthcare Zambia LTD,
949,,,,,,,,,,,,,,,,,,,,,,Medcross Hospital,
950,,,,,,,,,,,,,,,,,,,,,,Magnum Medical centre,
951,,,,,,,,,,,,,,,,,,,,,,Lusaka Trust Hospital,
952,,,,,,,,,,,,,,,,,,,,,,Lusaka Adventist Clinic,
953,,,,,,,,,,,,,,,,,,,,,,Lilayi Family Clinic,
954,,,,,,,,,,,,,,,,,,,,,,Lancet Nkanza Laboratories,
955,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
956,,,,,,,,,,,,,,,,,,,,,,Family Trust Medical Centre,
957,,,,,,,,,,,,,,,,,,,,,,Kabelenga Family Hospital,
958,,,,,,,,,,,,,,,,,,,,,,Good Esthetics,
959,,,,,,,,,,,,,,,,,,,,,,Link Pharmacy,
960,,,,,,,,,,,,,,,,,,,,,,Eyemax Opticians,
961,,,,,,,,,,,,,,,,,,,,,,Vikay Pharmacy,
962,,,,,,,,,,,,,,,,,,,,,,Kayiwale Medical Centre,
963,,,,,,,,,,,,,,,,,,,,,,Healing Touch Clinic,
964,,,,,,,,,,,,,,,,,,,,,,Lusaka Chemist,
965,,,,,,,,,,,,,,,,,,,,,,Forest Park Specialized Hospital,
966,,,,,,,,,,,,,,,,,,,,,,Family Care Dental Surgery,
967,,,,,,,,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
968,,,,,,,,,,,,,,,,,,,,,,Emergency Response Zambia,
969,,,,,,,,,,,,,,,,,,,,,,Eye- Co OPTICIANS,
970,,,,,,,,,,,,,,,,,,,,,,Dr Agarwal?s Eye Hospital,
971,,,,,,,,,,,,,,,,,,,,,,Double Six OPTICIANS,
972,,,,,,,,,,,,,,,,,,,,,,Dentalllive Clinic,
973,,,,,,,,,,,,,,,,,,,,,,DENTAL Training School,
974,,,,,,,,,,,,,,,,,,,,,,Dazzling DENTAL Clinic,
975,,,,,,,,,,,,,,,,,,,,,,CorpMed Medical Centre,
976,,,,,,,,,,,,,,,,,,,,,,Coptic Hospital,
977,,,,,,,,,,,,,,,,,,,,,,Clear Vision Centre,
978,,,,,,,,,,,,,,,,,,,,,,City DENTAL,
979,,,,,,,,,,,,,,,,,,,,,,Chisomo Hospital,
980,,,,,,,,,,,,,,,,,,,,,,Care for Business,
981,,,,,,,,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
982,,,,,,,,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
983,,,,,,,,,,,,,,,,,,,,,,Beit Cure International,
984,,,,,,,,,,,,,,,,,,,,,,Baba Medical Centre,
985,,,,,,,,,,,,,,,,,,,,,,ALWIMA Medical Centre,
986,,,,,,,,,,,,,,,,,,,,,,PROVIDER NAME,
987,,,,,,,,,,,,,,,,,,,,,,Lewanika General Hospital,
988,,,,,,,,,,,,,,,,,,,,,,Upperland Private Clinic,
989,,,,,,,,,,,,,,,,,,,,,,Monze Mission Hospital,
990,,,,,,,,,,,,,,,,,,,,,,El Shalom Clinic,
991,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
992,,,,,,,,,,,,,,,,,,,,,,Mazabuka Medical Clinic,
993,,,,,,,,,,,,,,,,,,,,,,Mazabuka General Hospital,
994,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
995,,,,,,,,,,,,,,,,,,,,,,DR SHAFIK HOSPITAL,
996,,,,,,,,,,,,,,,,,,,,,,Royal Professionals medical,
997,,,,,,,,,,,,,,,,,,,,,,Mukuni Medical Centre,
998,,,,,,,,,,,,,,,,,,,,,,Livingstone General Hospital,
999,,,,,,,,,,,,,,,,,,,,,,Health & Glow Pharmacy,
1000,,,,,,,,,,,,,,,,,,,,,,Maamba District Hospital,
1001,,,,,,,,,,,,,,,,,,,,,,Olive Medi Clinic,
1002,,,,,,,,,,,,,,,,,,,,,,Dr. Jain Surgery,
1003,,,,,,,,,,,,,,,,,,,,,,Choma General Hospital,
1004,,,,,,,,,,,,,,,,,,,,,,Tusekelemo Community Clinic,
1005,,,,,,,,,,,,,,,,,,,,,,Mukowa Pharmacy,
1006,,,,,,,,,,,,,,,,,,,,,,Mukuni Insurance Clinics,
1007,,,,,,,,,,,,,,,,,,,,,,Kabwe Mine Hospital,
1008,,,,,,,,,,,,,,,,,,,,,,Kabwe Medical Consultation Centre,
1009,,,,,,,,,,,,,,,,,,,,,,Kabwe General Hospital,
1010,,,,,,,,,,,,,,,,,,,,,,Kamoto Mission Hospital,
1011,,,,,,,,,,,,,,,,,,,,,,St. Francis Mission Hospital,
1012,,,,,,,,,,,,,,,,,,,,,,EJIS Professional Clinic,
1013,,,,,,,,,,,,,,,,,,,,,,Chipata HealthCare,
1014,,,,,,,,,,,,,,,,,,,,,,Chipata General Hospital,
1015,,,,,,,,,,,,,,,,,,,,,,Fort Jameson Infirmary,
1016,,,,,,,,,,,,,,,,,,,,,,Mwami Adventist Hospital,
1017,,,,,,,,,,,,,,,,,,,,,,Kayiwale Care and Cure,
1018,,,,,,,,,,,,,,,,,,,,,,Lundazi District Hospital,
1019,,,,,,,,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
1020,,,,,,,,,,,,,,,,,,,,,,Zambezi District Hospital,
1021,,,,,,,,,,,,,,,,,,,,,,Bumi Clinic,
1022,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
1023,,,,,,,,,,,,,,,,,,,,,,St. Johns Medical Centre,
1024,,,,,,,,,,,,,,,,,,,,,,Solwezi General Hospital,
1025,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
1026,,,,,,,,,,,,,,,,,,,,,,Kasama General Hospital,
1027,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital Kasama,
1028,,,,,,,,,,,,,,,,,,,,,,Home of Compassion Hospital,
1029,,,,,,,,,,,,,,,,,,,,,,Mansa General Hospital,
1030,,,,,,,,,,,,,,,,,,,,,,Malcom Watson Hospital,
1031,,,,,,,,,,,,,,,,,,,,,,Roan General Hospital,
1032,,,,,,,,,,,,,,,,,,,,,,CNMC Luanshya Mine Hospital,
1033,,,,,,,,,,,,,,,,,,,,,,Dr. Bhatt?s Medical Center,
1034,,,,,,,,,,,,,,,,,,,,,,Nchanga North General Hospital,
1035,,,,,,,,,,,,,,,,,,,,,,African Medicare Services,
1036,,,,,,,,,,,,,,,,,,,,,,Nchanga South (KCM Hospital),
1037,,,,,,,,,,,,,,,,,,,,,,Konkola Copper Mine Hospital,
1038,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
1039,,,,,,,,,,,,,,,,,,,,,,Sunbird OPTICIANS,
1040,,,,,,,,,,,,,,,,,,,,,,Health View Medical Services,
1041,,,,,,,,,,,,,,,,,,,,,,Mary Begg Community Clinic,
1042,,,,,,,,,,,,,,,,,,,,,,Chinan Clinic,
1043,,,,,,,,,,,,,,,,,,,,,,Telnor Medical Clinic,
1044,,,,,,,,,,,,,,,,,,,,,,Arthur Davison Children?s Hospital,
1045,,,,,,,,,,,,,,,,,,,,,,Ndola Central Hospital,
1046,,,,,,,,,,,,,,,,,,,,,,Rd. Bhatts Med & DENTAL Services,
1047,,,,,,,,,,,,,,,,,,,,,,Chemopharm,
1048,,,,,,,,,,,,,,,,,,,,,,Beverly Eye Clinic,
1049,,,,,,,,,,,,,,,,,,,,,,Kopa Specialist Clinic,
1050,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
1051,,,,,,,,,,,,,,,,,,,,,,Dr Dilobar?s Clinic,
1052,,,,,,,,,,,,,,,,,,,,,,Company Clinic,
1053,,,,,,,,,,,,,,,,,,,,,,Wusakile General Health Care,
1054,,,,,,,,,,,,,,,,,,,,,,Morningrise Surgery,
1055,,,,,,,,,,,,,,,,,,,,,,Kitwe Polyclinic,
1056,,,,,,,,,,,,,,,,,,,,,,Progress Medical,
1057,,,,,,,,,,,,,,,,,,,,,,Kitwe Central Hospital (PAMSCO),
1058,,,,,,,,,,,,,,,,,,,,,,Kano DENTAL,
1059,,,,,,,,,,,,,,,,,,,,,,Indafro Limited,
1060,,,,,,,,,,,,,,,,,,,,,,Hillview Medical Centre,
1061,,,,,,,,,,,,,,,,,,,,,,Carewell Oasis Medical,
1062,,,,,,,,,,,,,,,,,,,,,,Zubeda Clinic,
1063,,,,,,,,,,,,,,,,,,,,,,Kafue District Hospital,
1064,,,,,,,,,,,,,,,,,,,,,,Zambia Radiological & Imaging Co,
1065,,,,,,,,,,,,,,,,,,,,,,Vision Care Centre,
1066,,,,,,,,,,,,,,,,,,,,,,Viva Med Hospital,
1067,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
1068,,,,,,,,,,,,,,,,,,,,,,University Teaching Hospital,
1069,,,,,,,,,,,,,,,,,,,,,,U Z Dental Clinic,
1070,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
1071,,,,,,,,,,,,,,,,,,,,,,Teba Hospital,
1072,,,,,,,,,,,,,,,,,,,,,,Sun Bird Eye Clinic,
1073,,,,,,,,,,,,,,,,,,,,,,St. John Paul II,
1074,,,,,,,,,,,,,,,,,,,,,,ST John?s Hospital,
1075,,,,,,,,,,,,,,,,,,,,,,St George?s Clinic,
1076,,,,,,,,,,,,,,,,,,,,,,Smile Medical & DENTAL Clinic,
1077,,,,,,,,,,,,,,,,,,,,,,Revive Zambia,
1078,,,,,,,,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
1079,,,,,,,,,,,,,,,,,,,,,,Reliance Dental Services,
1080,,,,,,,,,,,,,,,,,,,,,,Phil OPTICIANS,
1081,,,,,,,,,,,,,,,,,,,,,,PHI Family Clinic,
1082,,,,,,,,,,,,,,,,,,,,,,Premium Medical Services,
1083,,,,,,,,,,,,,,,,,,,,,,Pendleton Family Practice Ltd,
1084,,,,,,,,,,,,,,,,,,,,,,Pearl of Health Hospital and Clinic,
1085,,,,,,,,,,,,,,,,,,,,,,Optimal Medical Centre,
1086,,,,,,,,,,,,,,,,,,,,,,Mutti Medical Centre,
1087,,,,,,,,,,,,,,,,,,,,,,Mum?s Care Clinics,
1088,,,,,,,,,,,,,,,,,,,,,,MKP TMS Hospital,
1089,,,,,,,,,,,,,,,,,,,,,,Metropolis Healthcare Zambia LTD,
1090,,,,,,,,,,,,,,,,,,,,,,Medcross Hospital,
1091,,,,,,,,,,,,,,,,,,,,,,Magnum Medical centre,
1092,,,,,,,,,,,,,,,,,,,,,,Lusaka Trust Hospital,
1093,,,,,,,,,,,,,,,,,,,,,,Lusaka Adventist Clinic,
1094,,,,,,,,,,,,,,,,,,,,,,Lilayi Family Clinic,
1095,,,,,,,,,,,,,,,,,,,,,,Lancet Nkanza Laboratories,
1096,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
1097,,,,,,,,,,,,,,,,,,,,,,Family Trust Medical Centre,
1098,,,,,,,,,,,,,,,,,,,,,,Kabelenga Family Hospital,
1099,,,,,,,,,,,,,,,,,,,,,,Good Esthetics,
1100,,,,,,,,,,,,,,,,,,,,,,Link Pharmacy,
1101,,,,,,,,,,,,,,,,,,,,,,Eyemax Opticians,
1102,,,,,,,,,,,,,,,,,,,,,,Vikay Pharmacy,
1103,,,,,,,,,,,,,,,,,,,,,,Kayiwale Medical Centre,
1104,,,,,,,,,,,,,,,,,,,,,,Healing Touch Clinic,
1105,,,,,,,,,,,,,,,,,,,,,,Lusaka Chemist,
1106,,,,,,,,,,,,,,,,,,,,,,Forest Park Specialized Hospital,
1107,,,,,,,,,,,,,,,,,,,,,,Family Care Dental Surgery,
1108,,,,,,,,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
1109,,,,,,,,,,,,,,,,,,,,,,Emergency Response Zambia,
1110,,,,,,,,,,,,,,,,,,,,,,Eye- Co OPTICIANS,
1111,,,,,,,,,,,,,,,,,,,,,,Dr Agarwal?s Eye Hospital,
1112,,,,,,,,,,,,,,,,,,,,,,Double Six OPTICIANS,
1113,,,,,,,,,,,,,,,,,,,,,,Dentalllive Clinic,
1114,,,,,,,,,,,,,,,,,,,,,,DENTAL Training School,
1115,,,,,,,,,,,,,,,,,,,,,,Dazzling DENTAL Clinic,
1116,,,,,,,,,,,,,,,,,,,,,,CorpMed Medical Centre,
1117,,,,,,,,,,,,,,,,,,,,,,Coptic Hospital,
1118,,,,,,,,,,,,,,,,,,,,,,Clear Vision Centre,
1119,,,,,,,,,,,,,,,,,,,,,,City DENTAL,
1120,,,,,,,,,,,,,,,,,,,,,,Chisomo Hospital,
1121,,,,,,,,,,,,,,,,,,,,,,Care for Business,
1122,,,,,,,,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
1123,,,,,,,,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
1124,,,,,,,,,,,,,,,,,,,,,,Beit Cure International,
1125,,,,,,,,,,,,,,,,,,,,,,Baba Medical Centre,
1126,,,,,,,,,,,,,,,,,,,,,,ALWIMA Medical Centre,
1127,,,,,,,,,,,,,,,,,,,,,,PROVIDER NAME,
1128,,,,,,,,,,,,,,,,,,,,,,,
1129,,,,,,,,,,,,,,,,,,,,,,0,
1130,,,,,,,,,,,,,,,,,,,,,,AFRICORP HEALTHCARE SYSTEMS LTD,
1131,,,,,,,,,,,,,,,,,,,,,,Corpmed Medical Centre,
1132,,,,,,,,,,,,,,,,,,,,,,Healthcare Equipment & Supplies Ltd,
1133,,,,,,,,,,,,,,,,,,,,,,Zambia Index,
1134,,,,,,,,,,,,,,,,,,,,,,0,
1135,,,,,,,,,,,,,,,,,,,,,,Genos Diagnostic Laboratory,
1136,,,,,,,,,,,,,,,,,,,,,,CFB Medical Centre,
1137,,,,,,,,,,,,,,,,,,,,,,Metropolis Healthcare,
1138,,,,,,,,,,,,,,,,,,,,,,Sterelin,
1139,,,,,,,,,,,,,,,,,,,,,,Medlink Services,
1140,,,,,,,,,,,,,,,,,,,,,,Dawn Diagnostic Laboratories,
1141,,,,,,,,,,,,,,,,,,,,,,MNK Psychotherapy and Wellness Centre,
1142,,,,,,,,,,,,,,,,,,,,,,City Dental Lusaka,
1143,,,,,,,,,,,,,,,,,,,,,,PearliWhyte Dental Solutions,
1144,,,,,,,,,,,,,,,,,,,,,,AgriVet Africa,
1145,,,,,,,,,,,,,,,,,,,,,,Lube-X Technologies,
1146,,,,,,,,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
1147,,,,,,,,,,,,,,,,,,,,,,African Centre of Excellence for Women's Cancer Control,
1148,,,,,,,,,,,,,,,,,,,,,,Chishawasha Childrens Home of Zambia,
1149,,,,,,,,,,,,,,,,,,,,,,Teledoctor Hospital,
1150,,,,,,,,,,,,,,,,,,,,,,Saint Francis' Hospital,
1151,,,,,,,,,,,,,,,,,,,,,,Macha Hospital,
1152,,,,,,,,,,,,,,,,,,,,,,University Teaching Hospital,
1153,,,,,,,,,,,,,,,,,,,,,,Victoria Hospitals,
1154,,,,,,,,,,,,,,,,,,,,,,Mary Begg Community Clinic,
